Date,Open,High,Low,Close,Adj Close,Volume
2017-01-02,107.599998,109.000000,107.599998,108.019997,108.019997,714
2017-01-03,108.230003,109.389999,108.220001,109.269997,109.269997,3276
2017-01-04,109.470001,109.779999,109.010002,108.919998,108.919998,673
2017-01-05,109.620003,109.709999,109.449997,109.610001,109.610001,1615
2017-01-06,108.989998,109.190002,108.989998,108.889999,108.889999,41
2017-01-09,109.559998,110.150002,109.379997,109.769997,109.769997,1725
2017-01-10,110.000000,110.209999,109.500000,110.160004,110.160004,1578
2017-01-11,110.360001,111.029999,110.360001,110.900002,110.900002,90884
2017-01-12,111.180000,111.180000,110.690002,110.730003,110.730003,513
2017-01-13,110.419998,110.449997,109.989998,110.339996,110.339996,277
2017-01-16,111.440002,111.510002,111.349998,111.400002,111.400002,914
2017-01-17,111.730003,111.919998,111.199997,111.410004,111.410004,6787
2017-01-18,111.379997,111.650002,111.379997,111.500000,111.500000,673
2017-01-19,111.250000,111.250000,110.620003,110.919998,110.919998,684
2017-01-20,110.699997,110.800003,110.559998,110.620003,110.620003,1140
2017-01-23,110.949997,111.309998,110.900002,111.260002,111.260002,473
2017-01-24,110.790001,110.959999,110.790001,110.680000,110.680000,558
2017-01-25,109.839996,109.940002,109.239998,109.559998,109.559998,1939
2017-01-26,109.269997,109.320000,108.989998,109.239998,109.239998,391
2017-01-27,108.699997,109.099998,108.559998,109.110001,109.110001,2514
2017-01-30,109.199997,110.080002,109.110001,109.860001,109.860001,6040
2017-01-31,109.000000,110.440002,109.000000,110.169998,110.169998,9080
2017-02-01,109.940002,110.180000,109.470001,109.790001,109.790001,1010
2017-02-02,110.440002,111.120003,110.440002,110.559998,110.559998,6661
2017-02-03,110.760002,111.000000,110.500000,110.959999,110.959999,1838
2017-02-06,111.690002,112.519997,111.680000,112.279999,112.279999,6104
2017-02-07,113.000000,113.379997,113.000000,113.220001,113.220001,7355
2017-02-08,113.599998,114.089996,113.599998,113.730003,113.730003,4960
2017-02-09,113.930000,114.080002,113.610001,113.449997,113.449997,3635
2017-02-10,112.930000,113.730003,112.930000,113.739998,113.739998,888
2017-02-13,113.800003,113.800003,113.029999,113.129997,113.129997,1399
2017-02-14,113.360001,114.019997,113.360001,113.669998,113.669998,1740
2017-02-15,113.940002,114.070000,113.459999,113.800003,113.800003,851
2017-02-16,114.110001,114.230003,114.010002,114.110001,114.110001,284
2017-02-17,114.070000,114.550003,114.070000,114.370003,114.370003,322
2017-02-20,114.099998,114.449997,114.099998,114.290001,114.290001,21627
2017-02-21,114.459999,114.989998,114.400002,115.089996,115.089996,96871
2017-02-22,115.250000,115.720001,114.879997,114.839996,114.839996,18308
2017-02-23,115.050003,115.849998,114.970001,115.750000,115.750000,5945
2017-02-24,116.040001,116.779999,116.040001,116.779999,116.779999,2234
2017-02-27,116.300003,116.639999,116.239998,116.650002,116.650002,3062
2017-02-28,116.180000,116.400002,115.919998,116.169998,116.169998,1975
